Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,200,0.25,0.8,255,5.51
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,200,0.3,0.8,255,5.1
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,200,0.3,0.8,255,8.59
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,200,0.3,0.8,255,8.89
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,225,0.2,0.8,255,4.85
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,225,0.2,0.8,255,4.37
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,225,0.2,0.8,255,5.26
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,225,0.25,0.8,255,6.58
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,225,0.25,0.8,255,6.46
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,225,0.25,0.8,255,6.26
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,225,0.3,0.8,255,6.03
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,225,0.3,0.8,255,5.61
